sep=,
"Plate name","Plate ID","Plate type","Well","Sample/NTC/Control","Type","Reaction Mix","Target (Name)","Target (IC)","Target (Type)","Conc. [cp/µL] (dPCR reaction)","Conc. [-] (dPCR reaction)","CI (95%) (dPCR reaction)","Conc. [cp/µL] (undiluted sample)","Conc. [-] (undiluted sample)","Edited fraction","CI (95%)","Concentration factor","Template volume [µl]","Total volume [µl]","Conversion factor","Conversion unit"
"","","","C5","Cal40","Sample","SYNE1","SYNE1_incl","-","WT","8916.6","-","2.9%","-","-","-","-","-","-","-","-","-"
"","","","C5","Cal40","Sample","SYNE1","SYNE1_excl","-","ET","14888.6","-","4.3%","-","-","62.5434%","2%","-","-","-","-","-"
"","","","C6","Cal50","Sample","SYNE1","SYNE1_incl","-","WT","12108.1","-","3.5%","-","-","-","-","-","-","-","-","-"
"","","","C6","Cal50","Sample","SYNE1","SYNE1_excl","-","ET","12422.4","-","3.6%","-","-","50.6406%","2%","-","-","-","-","-"
"","","","C7","Cal60","Sample","SYNE1","SYNE1_incl","-","WT","12901.0","-","3.7%","-","-","-","-","-","-","-","-","-"
"","","","C7","Cal60","Sample","SYNE1","SYNE1_excl","-","ET","8094.1","-","2.8%","-","-","38.5524%","3%","-","-","-","-","-"
"","","","C8","Cal70","Sample","SYNE1","SYNE1_incl","-","WT","13464.8","-","3.9%","-","-","-","-","-","-","-","-","-"
"","","","C8","Cal70","Sample","SYNE1","SYNE1_excl","-","ET","6004.2","-","2.7%","-","-","30.8396%","3%","-","-","-","-","-"
"","","","C9","Cal80","Sample","SYNE1","SYNE1_incl","-","WT","15731.9","-","4.8%","-","-","-","-","-","-","-","-","-"
"","","","C9","Cal80","Sample","SYNE1","SYNE1_excl","-","ET","4395.2","-","2.7%","-","-","21.8373%","4%","-","-","-","-","-"
"","","","C10","Cal90","Sample","SYNE1","SYNE1_incl","-","WT","17667.2","-","5.8%","-","-","-","-","-","-","-","-","-"
"","","","C10","Cal90","Sample","SYNE1","SYNE1_excl","-","ET","2170.1","-","3.2%","-","-","10.9395%","6%","-","-","-","-","-"
"","","","C11","Cal100","Sample","SYNE1","SYNE1_incl","-","WT","18285.0","-","6.2%","-","-","-","-","-","-","-","-","-"
"","","","C11","Cal100","Sample","SYNE1","SYNE1_excl","-","ET","330.6","-","7.1%","-","-","1.7758%","9%","-","-","-","-","-"
"","","","C12","NTC","Non Template Control","SYNE1","SYNE1_incl","-","WT","0.000","-","-","-","-","-","-","-","-","-","-","-"
"","","","C12","NTC","Non Template Control","SYNE1","SYNE1_excl","-","ET","0.787","-","119.1%","-","-","100.0000%","2%","-","-","-","-","-"
"","","","D1","Cal0","Sample","SYNE1","SYNE1_incl","-","WT","0.000","-","-","-","-","-","-","-","-","-","-","-"
"","","","D1","Cal0","Sample","SYNE1","SYNE1_excl","-","ET","27091.4","-","37.0%","-","-","100.0000%","0%","-","-","-","-","-"
"","","","D2","Cal10","Sample","SYNE1","SYNE1_incl","-","WT","2386.8","-","3.1%","-","-","-","-","-","-","-","-","-"
"","","","D2","Cal10","Sample","SYNE1","SYNE1_excl","-","ET","27756.3","-","37.0%","-","-","92.0817%","2%","-","-","-","-","-"
"","","","D3","Cal20","Sample","SYNE1","SYNE1_incl","-","WT","4737.4","-","2.7%","-","-","-","-","-","-","-","-","-"
"","","","D3","Cal20","Sample","SYNE1","SYNE1_excl","-","ET","22829.6","-","10.8%","-","-","82.8150%","2%","-","-","-","-","-"
"","","","D4","Cal30","Sample","SYNE1","SYNE1_incl","-","WT","6616.5","-","2.7%","-","-","-","-","-","-","-","-","-"
"","","","D4","Cal30","Sample","SYNE1","SYNE1_excl","-","ET","17324.3","-","5.3%","-","-","72.3632%","2%","-","-","-","-","-"
"","","","D5","Cal40","Sample","SYNE1","SYNE1_incl","-","WT","8934.1","-","2.9%","-","-","-","-","-","-","-","-","-"
"","","","D5","Cal40","Sample","SYNE1","SYNE1_excl","-","ET","14297.3","-","4.1%","-","-","61.5429%","2%","-","-","-","-","-"
"","","","D6","Cal50","Sample","SYNE1","SYNE1_incl","-","WT","11733.7","-","3.4%","-","-","-","-","-","-","-","-","-"
"","","","D6","Cal50","Sample","SYNE1","SYNE1_excl","-","ET","12190.9","-","3.5%","-","-","50.9554%","2%","-","-","-","-","-"
"","","","D7","Cal60","Sample","SYNE1","SYNE1_incl","-","WT","12564.5","-","3.6%","-","-","-","-","-","-","-","-","-"
"","","","D7","Cal60","Sample","SYNE1","SYNE1_excl","-","ET","8041.0","-","2.8%","-","-","39.0237%","3%","-","-","-","-","-"
"","","","D8","Cal70","Sample","SYNE1","SYNE1_incl","-","WT","13126.6","-","3.8%","-","-","-","-","-","-","-","-","-"
"","","","D8","Cal70","Sample","SYNE1","SYNE1_excl","-","ET","6043.3","-","2.7%","-","-","31.5249%","3%","-","-","-","-","-"
"","","","D9","Cal80","Sample","SYNE1","SYNE1_incl","-","WT","16479.0","-","6.1%","-","-","-","-","-","-","-","-","-"
"","","","D9","Cal80","Sample","SYNE1","SYNE1_excl","-","ET","4335.4","-","3.2%","-","-","20.8288%","5%","-","-","-","-","-"
"","","","D10","Cal90","Sample","SYNE1","SYNE1_incl","-","WT","19041.4","-","12.1%","-","-","-","-","-","-","-","-","-"
"","","","D10","Cal90","Sample","SYNE1","SYNE1_excl","-","ET","2134.0","-","5.4%","-","-","10.0778%","11%","-","-","-","-","-"
"","","","D12","NTC","Non Template Control","SYNE1","SYNE1_incl","-","WT","0.393","-","147.5%","-","-","-","-","-","-","-","-","-"
"","","","D12","NTC","Non Template Control","SYNE1","SYNE1_excl","-","ET","0.000","-","-","-","-","0%","-","-","-","-","-","-"
"","","","E1","S40_D1","Sample","SYNE1","SYNE1_incl","-","WT","17138.2","-","6.0%","-","-","-","-","-","-","-","-","-"
"","","","E1","S40_D1","Sample","SYNE1","SYNE1_excl","-","ET","28858.9","-","31.5%","-","-","62.7406%","10%","-","-","-","-","-"
"","","","E2","S40_D2","Sample","SYNE1","SYNE1_incl","-","WT","1971.0","-","3.3%","-","-","-","-","-","-","-","-","-"
"","","","E2","S40_D2","Sample","SYNE1","SYNE1_excl","-","ET","3095.4","-","2.9%","-","-","61.0965%","2%","-","-","-","-","-"
"","","","E3","S40_D3","Sample","SYNE1","SYNE1_incl","-","WT","194.8","-","9.2%","-","-","-","-","-","-","-","-","-"
"","","","E3","S40_D3","Sample","SYNE1","SYNE1_excl","-","ET","324.4","-","7.2%","-","-","62.4823%","4%","-","-","-","-","-"
"","","","E4","S40_D4","Sample","SYNE1","SYNE1_incl","-","WT","16.73","-","31.0%","-","-","-","-","-","-","-","-","-"
"","","","E4","S40_D4","Sample","SYNE1","SYNE1_excl","-","ET","25.96","-","24.9%","-","-","60.8161%","16%","-","-","-","-","-"
"","","","E5","S40_D5","Sample","SYNE1","SYNE1_incl","-","WT","1.715","-","98.0%","-","-","-","-","-","-","-","-","-"
"","","","E5","S40_D5","Sample","SYNE1","SYNE1_excl","-","ET","2.144","-","87.7%","-","-","55.5570%","77%","-","-","-","-","-"
"","","","E6","S40_D6","Sample","SYNE1","SYNE1_incl","-","WT","0.000","-","-","-","-","-","-","-","-","-","-","-"
"","","","E6","S40_D6","Sample","SYNE1","SYNE1_excl","-","ET","0.852","-","119.1%","-","-","100.0000%","2%","-","-","-","-","-"
"","","","E7","S60_D1","Sample","SYNE1","SYNE1_incl","-","WT","23751.4","-","10.8%","-","-","-","-","-","-","-","-","-"
"","","","E7","S60_D1","Sample","SYNE1","SYNE1_excl","-","ET","15506.0","-","4.4%","-","-","39.4984%","7%","-","-","-","-","-"
"","","","E8","S60_D2","Sample","SYNE1","SYNE1_incl","-","WT","2368.0","-","3.1%","-","-","-","-","-","-","-","-","-"
"","","","E8","S60_D2","Sample","SYNE1","SYNE1_excl","-","ET","1613.7","-","3.6%","-","-","40.5278%","3%","-","-","-","-","-"
"","","","E9","S60_D3","Sample","SYNE1","SYNE1_incl","-","WT","247.2","-","8.2%","-","-","-","-","-","-","-","-","-"
"","","","E9","S60_D3","Sample","SYNE1","SYNE1_excl","-","ET","199.5","-","9.1%","-","-","44.6502%","7%","-","-","-","-","-"
"","","","E10","S60_D4","Sample","SYNE1","SYNE1_incl","-","WT","24.03","-","25.7%","-","-","-","-","-","-","-","-","-"
"","","","E10","S60_D4","Sample","SYNE1","SYNE1_excl","-","ET","19.87","-","28.3%","-","-","45.2680%","21%","-","-","-","-","-"
"","","","E11","S60_D5","Sample","SYNE1","SYNE1_incl","-","WT","4.857","-","56.6%","-","-","-","-","-","-","-","-","-"
"","","","E11","S60_D5","Sample","SYNE1","SYNE1_excl","-","ET","2.427","-","80.0%","-","-","33.3253%","74%","-","-","-","-","-"
"","","","E12","S60_D6","Sample","SYNE1","SYNE1_incl","-","WT","0.806","-","119.1%","-","-","-","-","-","-","-","-","-"
"","","","E12","S60_D6","Sample","SYNE1","SYNE1_excl","-","ET","0.000","-","-","-","-","0%","-","-","-","-","-","-"
"","","","F1","S40_D1","Sample","SYNE1","SYNE1_incl","-","WT","16535.6","-","5.6%","-","-","-","-","-","-","-","-","-"
"","","","F1","S40_D1","Sample","SYNE1","SYNE1_excl","-","ET","25642.6","-","40.8%","-","-","60.7958%","12%","-","-","-","-","-"
"","","","F2","S40_D2","Sample","SYNE1","SYNE1_incl","-","WT","1897.9","-","3.3%","-","-","-","-","-","-","-","-","-"
