sep=,
"Plate name","Plate ID","Plate type","Well","Sample/NTC/Control","Type","Reaction Mix","Target (Name)","Target (IC)","Target (Type)","Conc. [cp/µL] (dPCR reaction)","Conc. [-] (dPCR reaction)","CI (95%) (dPCR reaction)","Conc. [cp/µL] (undiluted sample)","Conc. [-] (undiluted sample)","Edited fraction","CI (95%)","Concentration factor","Template volume [µl]","Total volume [µl]","Conversion factor","Conversion unit"
"","","","D12","NTC","Non Template Control","KIF13A","Excl","-","WT","0.000","-","-","-","-","-","-","-","-","10","-","-"
"","","","E1","CalB_0","Sample","KIF13A","Incl","-","ET","0.000","-","-","0.000","-","0%","-","1","1","10","-","-"
"","","","E1","CalB_0","Sample","KIF13A","Excl","-","WT","1878.1","-","3.3%","18780.8","-","-","-","1","1","10","-","-"
"","","","E2","CalB_10","Sample","KIF13A","Incl","-","ET","216.4","-","8.7%","2163.7","-","10.4563%","8%","1","1","10","-","-"
"","","","E2","CalB_10","Sample","KIF13A","Excl","-","WT","1852.9","-","3.4%","18529.2","-","-","-","1","1","10","-","-"
"","","","E3","CalB_20","Sample","KIF13A","Incl","-","ET","408.4","-","6.5%","4083.9","-","20.0657%","6%","1","1","10","-","-"
"","","","E3","CalB_20","Sample","KIF13A","Excl","-","WT","1626.9","-","3.6%","16269.0","-","-","-","1","1","10","-","-"
"","","","E4","CalB_30","Sample","KIF13A","Incl","-","ET","551.3","-","5.7%","5512.5","-","29.7129%","5%","1","1","10","-","-"
"","","","E4","CalB_30","Sample","KIF13A","Excl","-","WT","1304.0","-","3.9%","13040.2","-","-","-","1","1","10","-","-"
"","","","E5","CalB_40","Sample","KIF13A","Incl","-","ET","764.9","-","4.9%","7649.0","-","40.6623%","4%","1","1","10","-","-"
"","","","E5","CalB_40","Sample","KIF13A","Excl","-","WT","1116.2","-","4.2%","11162.0","-","-","-","1","1","10","-","-"
"","","","E6","CalB_50","Sample","KIF13A","Incl","-","ET","918.9","-","4.5%","9189.5","-","48.4499%","3%","1","1","10","-","-"
"","","","E6","CalB_50","Sample","KIF13A","Excl","-","WT","977.8","-","4.4%","9777.5","-","-","-","1","1","10","-","-"
"","","","E7","CalB_60","Sample","KIF13A","Incl","-","ET","1090.7","-","4.2%","10906.5","-","59.1031%","3%","1","1","10","-","-"
"","","","E7","CalB_60","Sample","KIF13A","Excl","-","WT","754.7","-","4.9%","7546.9","-","-","-","1","1","10","-","-"
"","","","E8","CalB_70","Sample","KIF13A","Incl","-","ET","1346.0","-","3.8%","13459.8","-","68.5114%","2%","1","1","10","-","-"
"","","","E8","CalB_70","Sample","KIF13A","Excl","-","WT","618.6","-","5.3%","6186.3","-","-","-","1","1","10","-","-"
"","","","E9","CalB_80","Sample","KIF13A","Incl","-","ET","1359.1","-","4.5%","13591.3","-","76.6980%","2%","1","1","10","-","-"
"","","","E9","CalB_80","Sample","KIF13A","Excl","-","WT","412.9","-","7.5%","4129.2","-","-","-","1","1","10","-","-"
"","","","E10","CalB_90","Sample","KIF13A","Incl","-","ET","1765.3","-","3.5%","17653.2","-","89.8909%","1%","1","1","10","-","-"
"","","","E10","CalB_90","Sample","KIF13A","Excl","-","WT","198.5","-","9.1%","1985.3","-","-","-","1","1","10","-","-"
"","","","E11","CalB_100","Sample","KIF13A","Incl","-","ET","1913.3","-","3.3%","19133.0","-","99.6191%","0%","1","1","10","-","-"
"","","","E11","CalB_100","Sample","KIF13A","Excl","-","WT","7.316","-","46.2%","73.16","-","-","-","1","1","10","-","-"
"","","","E12","NTC","Non Template Control","KIF13A","Incl","-","ET","0.000","-","-","-","-","-","-","-","-","10","-","-"
"","","","E12","NTC","Non Template Control","KIF13A","Excl","-","WT","0.000","-","-","-","-","-","-","-","-","10","-","-"
"","","","F1","CalB_0","Sample","KIF13A","Incl","-","ET","0.000","-","-","0.000","-","0%","-","1","1","10","-","-"
"","","","F1","CalB_0","Sample","KIF13A","Excl","-","WT","1880.5","-","3.3%","18804.9","-","-","-","1","1","10","-","-"
"","","","F2","CalB_10","Sample","KIF13A","Incl","-","ET","209.8","-","8.7%","2097.7","-","10.3227%","8%","1","1","10","-","-"
"","","","F2","CalB_10","Sample","KIF13A","Excl","-","WT","1822.3","-","3.4%","18223.2","-","-","-","1","1","10","-","-"
"","","","F3","CalB_20","Sample","KIF13A","Incl","-","ET","385.8","-","6.6%","3858.0","-","20.0195%","6%","1","1","10","-","-"
"","","","F3","CalB_20","Sample","KIF13A","Excl","-","WT","1541.3","-","3.6%","15413.3","-","-","-","1","1","10","-","-"
"","","","F4","CalB_30","Sample","KIF13A","Incl","-","ET","531.8","-","5.7%","5318.2","-","29.1978%","5%","1","1","10","-","-"
"","","","F4","CalB_30","Sample","KIF13A","Excl","-","WT","1289.6","-","3.9%","12896.1","-","-","-","1","1","10","-","-"
"","","","F5","CalB_40","Sample","KIF13A","Incl","-","ET","756.2","-","4.9%","7562.1","-","40.4982%","4%","1","1","10","-","-"
"","","","F5","CalB_40","Sample","KIF13A","Excl","-","WT","1111.1","-","4.2%","11110.5","-","-","-","1","1","10","-","-"
"","","","F6","CalB_50","Sample","KIF13A","Incl","-","ET","981.6","-","4.4%","9815.7","-","51.3085%","3%","1","1","10","-","-"
"","","","F6","CalB_50","Sample","KIF13A","Excl","-","WT","931.5","-","4.5%","9315.1","-","-","-","1","1","10","-","-"
"","","","F7","CalB_60","Sample","KIF13A","Incl","-","ET","1109.6","-","4.2%","11095.9","-","60.3954%","3%","1","1","10","-","-"
"","","","F7","CalB_60","Sample","KIF13A","Excl","-","WT","727.6","-","5.0%","7276.2","-","-","-","1","1","10","-","-"
"","","","F8","CalB_70","Sample","KIF13A","Incl","-","ET","1317.0","-","3.9%","13170.5","-","69.6640%","2%","1","1","10","-","-"
"","","","F8","CalB_70","Sample","KIF13A","Excl","-","WT","573.5","-","5.6%","5735.2","-","-","-","1","1","10","-","-"
"","","","F9","CalB_80","Sample","KIF13A","Incl","-","ET","1456.2","-","3.8%","14562.1","-","79.4975%","2%","1","1","10","-","-"
